SALES_YEAR,COUNTRY_OR_TERRITORY,TIRE_SIZE,RIM_SIZE,TOTAL_INDUSTRY_SALES,SOM_OF_SIZES,GOODYEAR_SALES,OTHERS_SALES,SOM_OF_BRAND,BRAND_NAME,DESIGN_NAME,BRAND_TYPE,SALES_PRICE_IN_USD,GOODYEAR_BRAND_SALES,GOODYEAR_PATTERN_SALES,GOODYEAR_PATTERN_RANK_BY_SIZE_BRAND,COMPETITOR_BRAND,COMPETITOR_BRAND_SALES,COMPETITOR_SOM_OF_BRAND,COMPETITOR_PATTERN,COMPETITOR_SALES_PRICE_IN_USD,COMPETITOR_PATTERN_SALES,COMPETITOR_PATTERN_RANK_BY_SIZE_BRAND,LUX_SUV_CARPARC,TOTAL_CARPARC,LUX_SUV_RATIO,TOP_5_FITMENTS
1/1/2024,Mainland China,205/55R16,16,11766920.88,0.121562073,502448,51586,0.047084025,Cooper,ZEON C7,Others,55.6058,502448,19186,1,Kenda,3091.9355,0.001350815,KR 23A KOMET PLUS,64.1163,164.6393,5,1096118.605,22443932.02,0.048838083,"Hyundai Elantra Langdong, Toyota Corolla, Ford Escort, Volkswagen Lavida, Hyundai Elantra Lingdong"
1/1/2024,Mainland China,205/55R16,16,11766920.88,0.121562073,502448,51586,0.047084025,Cooper,ZEON C7,Others,55.6058,502448,19186,1,Linglong,125106.3652,0.054656871,GREENMAX HP010,43.4428,21741.6943,3,1096118.605,22443932.02,0.048838083,"Hyundai Elantra Langdong, Toyota Corolla, Ford Escort, Volkswagen Lavida, Hyundai Elantra Lingdong"
1/1/2024,Mainland China,205/55R16,16,11766920.88,0.121562073,502448,51586,0.047084025,Cooper,ZEON C7,Others,55.6058,502448,19186,1,Bridgestone,116302.0061,0.050810394,TURANZA ER30,67.8983,44.4556,10,1096118.605,22443932.02,0.048838083,"Hyundai Elantra Langdong, Toyota Corolla, Ford Escort, Volkswagen Lavida, Hyundai Elantra Lingdong"
1/1/2024,Mainland China,205/55R16,16,11766920.88,0.121562073,502448,51586,0.047084025,MASTERCRAFT,MC-440,Others,67.8305,502448,20402,1,Yokohama,50119.7212,0.021896465,DECIBEL E70J,94.6232,14.872,16,1096118.605,22443932.02,0.048838083,"Hyundai Elantra Langdong, Toyota Corolla, Ford Escort, Volkswagen Lavida, Hyundai Elantra Lingdong"
1/1/2024,Mainland China,205/55R16,16,11766920.88,0.121562073,502448,51586,0.047084025,Cooper,ZEON C7,Others,55.6058,502448,19186,1,Hilo,8165.3861,0.00356732,XP2 PLUS,105.4556,225.2762,3,1096118.605,22443932.02,0.048838083,"Hyundai Elantra Langdong, Toyota Corolla, Ford Escort, Volkswagen Lavida, Hyundai Elantra Lingdong"
1/1/2024,Mainland China,205/55R16,16,11766920.88,0.121562073,502448,51586,0.047084025,Goodyear,ASSU DURAPLUS 2,Internal,,502448,152118,2,Continental,138704.3827,0.060597616,CONTIPREMIUMCONTACT 5,113.2429,680.1196,12,1096118.605,22443932.02,0.048838083,"Hyundai Elantra Langdong, Toyota Corolla, Ford Escort, Volkswagen Lavida, Hyundai Elantra Lingdong"
1/1/2024,Mainland China,205/55R16,16,11766920.88,0.121562073,502448,51586,0.047084025,MASTERCRAFT,MC-440,Others,67.8305,502448,20402,1,Nexen,13031.1448,0.005693088,N'PRIZ AH8,54.1427,1035.3774,4,1096118.605,22443932.02,0.048838083,"Hyundai Elantra Langdong, Toyota Corolla, Ford Escort, Volkswagen Lavida, Hyundai Elantra Lingdong"
1/1/2024,Mainland China,205/55R16,16,11766920.88,0.121562073,502448,51586,0.047084025,Goodyear,ASSU TRIPLEMAX,Internal,,502448,159723,1,Dunlop,145754.7672,0.063677811,SP SPORT 01,91.054,5272.6834,7,1096118.605,22443932.02,0.048838083,"Hyundai Elantra Langdong, Toyota Corolla, Ford Escort, Volkswagen Lavida, Hyundai Elantra Lingdong"
1/1/2024,Mainland China,205/55R16,16,11766920.88,0.121562073,502448,51586,0.047084025,MASTERCRAFT,MC-440,Others,67.8305,502448,20402,1,Lanvigator,3447.1337,0.001505995,COMFORT II,39.8946,6.914,4,1096118.605,22443932.02,0.048838083,"Hyundai Elantra Langdong, Toyota Corolla, Ford Escort, Volkswagen Lavida, Hyundai Elantra Lingdong"
1/1/2024,Mainland China,205/55R16,16,11766920.88,0.121562073,502448,51586,0.047084025,Goodyear,ASSU DURAPLUS 2,Internal,,502448,152118,2,Farroad,879.2854,0.000384145,FRD16,39.8946,214.5424,2,1096118.605,22443932.02,0.048838083,"Hyundai Elantra Langdong, Toyota Corolla, Ford Escort, Volkswagen Lavida, Hyundai Elantra Lingdong"
1/1/2024,Mainland China,205/55R16,16,11766920.88,0.121562073,502448,51586,0.047084025,Goodyear,OPTILIFE 3 PRO,Internal,,502448,38890,4,Giti,162240.29,0.070880059,COMFORT 228V1,82.6388,50703.2486,1,1096118.605,22443932.02,0.048838083,"Hyundai Elantra Langdong, Toyota Corolla, Ford Escort, Volkswagen Lavida, Hyundai Elantra Lingdong"
1/1/2024,Mainland China,205/55R16,16,11766920.88,0.121562073,502448,51586,0.047084025,Goodyear,ASSU DURAPLUS 2,Internal,,502448,152118,2,Dunlop,145754.7672,0.063677811,WINTER MAXX 03,56.695,3957.7784,8,1096118.605,22443932.02,0.048838083,"Hyundai Elantra Langdong, Toyota Corolla, Ford Escort, Volkswagen Lavida, Hyundai Elantra Lingdong"
1/1/2024,Mainland China,205/55R16,16,11766920.88,0.121562073,502448,51586,0.047084025,Goodyear,ASSU TRIPLEMAX,Internal,,502448,159723,1,Yokohama,50119.7212,0.021896465,ADVAN DB V552,68.2506,868.8313,11,1096118.605,22443932.02,0.048838083,"Hyundai Elantra Langdong, Toyota Corolla, Ford Escort, Volkswagen Lavida, Hyundai Elantra Lingdong"
1/1/2024,Mainland China,205/55R16,16,11766920.88,0.121562073,502448,51586,0.047084025,Cooper,EVOLUTION C5,Others,63.4257,502448,7423,185,Hankook,284582.6309,0.124329374,ION ST AS IH61,70.8129,14691.067,6,1096118.605,22443932.02,0.048838083,"Hyundai Elantra Langdong, Toyota Corolla, Ford Escort, Volkswagen Lavida, Hyundai Elantra Lingdong"
1/1/2024,Mainland China,205/55R16,16,11766920.88,0.121562073,502448,51586,0.047084025,Goodyear,EFFIGRIP PERF,Internal,,502448,15043,8,Lanvigator,3447.1337,0.001505995,L9,53.4232,3279.4757,1,1096118.605,22443932.02,0.048838083,"Hyundai Elantra Langdong, Toyota Corolla, Ford Escort, Volkswagen Lavida, Hyundai Elantra Lingdong"
1/1/2024,Mainland China,205/55R16,16,11766920.88,0.121562073,502448,51586,0.047084025,Goodyear,EFFIGRIP,Internal,,502448,699,11,Yokohama,50119.7212,0.021896465,BLUEARTH-GT AE51B,96.517,2432.2439,5,1096118.605,22443932.02,0.048838083,"Hyundai Elantra Langdong, Toyota Corolla, Ford Escort, Volkswagen Lavida, Hyundai Elantra Lingdong"
1/1/2024,Mainland China,205/55R16,16,11766920.88,0.121562073,502448,51586,0.047084025,Goodyear,ASSU TRIPLEMAX2,Internal,,502448,35577,5,Pirelli,30302.7119,0.013238746,ICE ZERO ASIMMETRICO,56.9923,867.5657,8,1096118.605,22443932.02,0.048838083,"Hyundai Elantra Langdong, Toyota Corolla, Ford Escort, Volkswagen Lavida, Hyundai Elantra Lingdong"
1/1/2024,Mainland China,205/55R16,16,11766920.88,0.121562073,502448,51586,0.047084025,Goodyear,ULTRA GRIP ICE+,Internal,,502448,10853,9,Invovic,4967.5834,0.002170254,EL919,48.7284,297.6339,2,1096118.605,22443932.02,0.048838083,"Hyundai Elantra Langdong, Toyota Corolla, Ford Escort, Volkswagen Lavida, Hyundai Elantra Lingdong"
1/1/2024,Mainland China,205/55R16,16,11766920.88,0.121562073,502448,51586,0.047084025,Goodyear,ASSU TRIPLEMAX2,Internal,,502448,35577,5,Hilo,8165.3861,0.00356732,GENESYS XP1 PLUS,62.2641,140.8014,5,1096118.605,22443932.02,0.048838083,"Hyundai Elantra Langdong, Toyota Corolla, Ford Escort, Volkswagen Lavida, Hyundai Elantra Lingdong"
1/1/2024,Mainland China,205/55R16,16,11766920.88,0.121562073,502448,51586,0.047084025,Goodyear,EFFIGRIP,Internal,,502448,699,11,Continental,138704.3827,0.060597616,NORTHCONTACT NC7,75.5148,720.8911,11,1096118.605,22443932.02,0.048838083,"Hyundai Elantra Langdong, Toyota Corolla, Ford Escort, Volkswagen Lavida, Hyundai Elantra Lingdong"
1/1/2024,Mainland China,205/55R16,16,11766920.88,0.121562073,502448,51586,0.047084025,Goodyear,EAG F1 SPORT,Internal,,502448,17802,7,Dunlop,145754.7672,0.063677811,VEURO VE302,70.0462,15570.7329,4,1096118.605,22443932.02,0.048838083,"Hyundai Elantra Langdong, Toyota Corolla, Ford Escort, Volkswagen Lavida, Hyundai Elantra Lingdong"
1/1/2024,Mainland China,205/55R16,16,11766920.88,0.121562073,502448,51586,0.047084025,Goodyear,ASSU MAXGUARD,Internal,,502448,39884,3,Linglong,125106.3652,0.054656871,SPORT G5,45.5938,712.6566,7,1096118.605,22443932.02,0.048838083,"Hyundai Elantra Langdong, Toyota Corolla, Ford Escort, Volkswagen Lavida, Hyundai Elantra Lingdong"
1/1/2024,Mainland China,205/55R16,16,11766920.88,0.121562073,502448,51586,0.047084025,Cooper,WM ICE 100,Others,,502448,4210,186,Annaite,9506.3127,0.004153148,AN600,42.7442,267.2878,4,1096118.605,22443932.02,0.048838083,"Hyundai Elantra Langdong, Toyota Corolla, Ford Escort, Volkswagen Lavida, Hyundai Elantra Lingdong"
1/1/2024,Mainland China,205/55R16,16,11766920.88,0.121562073,502448,51586,0.047084025,Cooper,ZEON ATP,Others,61.2667,502448,365,187,Glede,180.9367,7.90482E-05,HIMALAYA G39,32.4176,143.9584,1,1096118.605,22443932.02,0.048838083,"Hyundai Elantra Langdong, Toyota Corolla, Ford Escort, Volkswagen Lavida, Hyundai Elantra Lingdong"
1/1/2024,Mainland China,205/55R16,16,11766920.88,0.121562073,502448,51586,0.047084025,Cooper,EVOLUTION C5,Others,63.4257,502448,7423,185,Winrun,22.0436,9.6305E-06,R330,48.6215,6.9745,2,1096118.605,22443932.02,0.048838083,"Hyundai Elantra Langdong, Toyota Corolla, Ford Escort, Volkswagen Lavida, Hyundai Elantra Lingdong"
1/1/2024,Mainland China,205/55R16,16,11766920.88,0.121562073,502448,51586,0.047084025,Cooper,WM ICE 100,Others,,502448,4210,186,Triangle,28761.5326,0.012565431,TR928,81.1604,8857.1332,2,1096118.605,22443932.02,0.048838083,"Hyundai Elantra Langdong, Toyota Corolla, Ford Escort, Volkswagen Lavida, Hyundai Elantra Lingdong"
1/1/2024,Mainland China,205/55R16,16,11766920.88,0.121562073,502448,51586,0.047084025,Goodyear,EAG F1 SPORT,Internal,,502448,17802,7,Atlas,4059.3898,0.001773479,WINTER I3,38.4698,648.7276,4,1096118.605,22443932.02,0.048838083,"Hyundai Elantra Langdong, Toyota Corolla, Ford Escort, Volkswagen Lavida, Hyundai Elantra Lingdong"
